COMUNA;CASOS;POBLACION;TASA;FECHA
Algarrobo;7;15174;46.1;01/04/2020
Alhué;0;7405;0;01/04/2020
Alto Biobío;0;6775;0;01/04/2020
Alto del Carmen;0;5729;0;01/04/2020
Alto Hospicio;0;129999;0.8;01/04/2020
Ancud;0;42458;0;01/04/2020
Andacollo;0;11791;0;01/04/2020
Angol;13;56058;23.2;01/04/2020
Antártica;0;137;0;01/04/2020
Antofagasta;32;425725;7.5;01/04/2020
Antuco;0;4306;0;01/04/2020
Arauco;5;38679;12.9;01/04/2020
Arica;6;247552;2.4;01/04/2020
Aysén;0;25002;4;01/04/2020
Buin;8;109641;7.3;01/04/2020
Bulnes;18;22607;79.6;01/04/2020
Cabildo;0;20663;0;01/04/2020
Cabo de Hornos;6;1983;302.6;01/04/2020
Cabrero;0;30725;0;01/04/2020
Calama;0;190336;1.6;01/04/2020
Calbuco;5;36744;13.6;01/04/2020
Caldera;0;19426;0;01/04/2020
Calera de Tango;7;28525;24.5;01/04/2020
Calle Larga;0;16482;0;01/04/2020
Camarones;0;1233;0;01/04/2020
Camiña;0;1375;0;01/04/2020
Canela;0;9546;0;01/04/2020
Cañete;0;37003;0;01/04/2020
Carahue;0;25486;7.8;01/04/2020
Cartagena;0;25357;0;01/04/2020
Casablanca;0;29170;3.4;01/04/2020
Castro;0;47607;2.1;01/04/2020
Catemu;0;15213;0;01/04/2020
Cauquenes;0;44143;2.3;01/04/2020
Cerrillos;4;88956;4.5;01/04/2020
Cerro Navia;21;142465;14.7;01/04/2020
Chaitén;0;5020;19.9;01/04/2020
Chanco;0;9331;0;01/04/2020
Chañaral;0;13164;0;01/04/2020
Chépica;0;15925;0;01/04/2020
Chiguayante;18;91180;19.7;01/04/2020
Chile Chico;0;5121;0;01/04/2020
Chillán;173;198624;87.1;01/04/2020
Chillán Viejo;22;33827;65;01/04/2020
Chimbarongo;0;37696;5.3;01/04/2020
Cholchol;0;12341;16.2;01/04/2020
Chonchi;0;16013;0;01/04/2020
Cisnes;0;5828;0;01/04/2020
Cobquecura;0;5275;0;01/04/2020
Cochamó;0;4006;0;01/04/2020
Cochrane;0;3685;0;01/04/2020
Codegua;0;14096;0;01/04/2020
Coelemu;0;16845;5.9;01/04/2020
Coihueco;0;28375;10.6;01/04/2020
Coinco;0;7831;0;01/04/2020
Colbún;4;22565;17.7;01/04/2020
Colchane;0;1583;0;01/04/2020
Colina;39;180353;21.6;01/04/2020
Collipulli;0;26148;0;01/04/2020
Coltauco;0;21263;0;01/04/2020
Combarbalá;0;13884;0;01/04/2020
Concepción;47;238092;19.7;01/04/2020
Conchalí;18;139195;12.9;01/04/2020
Concón;0;45889;2.2;01/04/2020
Constitución;0;50348;2;01/04/2020
Contulmo;0;6330;0;01/04/2020
Copiapó;0;171766;1.2;01/04/2020
Coquimbo;19;256735;7.4;01/04/2020
Coronel;11;125829;8.7;01/04/2020
Corral;0;5447;0;01/04/2020
Coyhaique;0;61210;3.3;01/04/2020
Cunco;0;18055;0;01/04/2020
Curacautín;0;18178;0;01/04/2020
Curacaví;5;36430;13.7;01/04/2020
Curaco de Vélez;0;4066;0;01/04/2020
Curanilahue;0;33892;3;01/04/2020
Curarrehue;0;7802;25.6;01/04/2020
Curepto;0;9426;0;01/04/2020
Curicó;8;163626;4.9;01/04/2020
Dalcahue;0;15069;0;01/04/2020
Diego de Almagro;0;14358;7;01/04/2020
Doñihue;0;22700;0;01/04/2020
El Bosque;28;172000;16.3;01/04/2020
El Carmen;0;12334;16.2;01/04/2020
El Monte;0;40014;2.5;01/04/2020
El Quisco;0;17742;0;01/04/2020
El Tabo;0;14338;7;01/04/2020
Empedrado;0;4206;0;01/04/2020
Ercilla;0;8458;0;01/04/2020
Estación Central;22;206792;10.6;01/04/2020
Florida;0;11841;0;01/04/2020
Freire;0;25446;7.9;01/04/2020
Freirina;0;7681;0;01/04/2020
Fresia;0;12656;0;01/04/2020
Frutillar;0;20223;0;01/04/2020
Futaleufú;0;2806;0;01/04/2020
Futrono;0;15261;13.1;01/04/2020
Galvarino;0;12633;7.9;01/04/2020
General Lagos;0;810;0;01/04/2020
Gorbea;6;15148;39.6;01/04/2020
Graneros;0;36504;0;01/04/2020
Guaitecas;0;1599;0;01/04/2020
Hijuelas;0;19099;0;01/04/2020
Hualaihué;0;9525;31.5;01/04/2020
Hualañé;0;10222;0;01/04/2020
Hualpén;39;97273;40.1;01/04/2020
Hualqui;0;26201;11.4;01/04/2020
Huara;0;3000;0;01/04/2020
Huasco;0;11264;0;01/04/2020
Huechuraba;19;112528;16.9;01/04/2020
Illapel;0;32801;0;01/04/2020
Independencia;17;142065;12;01/04/2020
Iquique;9;223463;2.2;01/04/2020
Isla de Maipo;0;40171;2.5;01/04/2020
Isla de Pascua;5;8277;60.4;01/04/2020
Juan Fernández;0;1033;0;01/04/2020
La Calera;6;53591;11.2;01/04/2020
La Cisterna;12;100434;11.9;01/04/2020
La Cruz;0;25321;3.9;01/04/2020
La Estrella;0;3114;0;01/04/2020
La Florida;58;402433;14.4;01/04/2020
La Granja;8;122557;6.5;01/04/2020
La Higuera;0;4450;0;01/04/2020
La Ligua;0;37739;5.3;01/04/2020
La Pintana;10;189335;5.3;01/04/2020
La Reina;26;100252;25.9;01/04/2020
La Serena;0;249656;1.2;01/04/2020
La Unión;9;39538;22.8;01/04/2020
Lago Ranco;0;10292;9.7;01/04/2020
Lago Verde;0;920;0;01/04/2020
Laguna Blanca;0;264;0;01/04/2020
Laja;0;23873;8.4;01/04/2020
Lampa;10;126898;7.9;01/04/2020
Lanco;0;17652;5.7;01/04/2020
Las Cabras;0;26749;0;01/04/2020
Las Condes;208;330759;62.9;01/04/2020
Lautaro;8;40746;19.6;01/04/2020
Lebu;0;27100;0;01/04/2020
Licantén;0;6989;0;01/04/2020
Limache;0;49931;6;01/04/2020
Linares;6;101073;5.9;01/04/2020
Litueche;0;6765;0;01/04/2020
Llaillay;0;26533;0;01/04/2020
Llanquihue;0;18621;0;01/04/2020
Lo Barnechea;78;124076;62.9;01/04/2020
Lo Espejo;7;103865;6.7;01/04/2020
Lo Prado;18;104403;17.2;01/04/2020
Lolol;0;7289;0;01/04/2020
Loncoche;0;24739;8.1;01/04/2020
Longaví;0;32810;3;01/04/2020
Lonquimay;0;11049;0;01/04/2020
Los Álamos;0;22524;0;01/04/2020
Los Andes;0;68093;4.4;01/04/2020
Los Ángeles;15;218515;6.9;01/04/2020
Los Lagos;0;20518;0;01/04/2020
Los Muermos;0;17817;5.6;01/04/2020
Los Sauces;0;7517;0;01/04/2020
Los Vilos;0;23374;4.3;01/04/2020
Lota;0;45750;0;01/04/2020
Lumaco;0;10050;0;01/04/2020
Machalí;6;59913;10;01/04/2020
Macul;15;134635;11.1;01/04/2020
Máfil;0;7389;13.5;01/04/2020
Maipú;55;578605;9.5;01/04/2020
Malloa;0;14163;0;01/04/2020
Marchihue;0;7632;0;01/04/2020
María Elena;0;6814;0;01/04/2020
María Pinto;0;14926;0;01/04/2020
Mariquina;0;23250;8.6;01/04/2020
Maule;0;60000;3.3;01/04/2020
Maullín;0;14894;0;01/04/2020
Mejillones;0;14776;0;01/04/2020
Melipeuco;0;6265;0;01/04/2020
Melipilla;8;141612;5.6;01/04/2020
Molina;0;49800;6;01/04/2020
Monte Patria;0;32527;0;01/04/2020
Mostazal;0;27462;0;01/04/2020
Mulchén;5;31041;16.1;01/04/2020
Nacimiento;0;27944;7.2;01/04/2020
Nancagua;0;19141;0;01/04/2020
Natales;4;23782;16.8;01/04/2020
Navidad;0;6904;0;01/04/2020
Negrete;0;10429;0;01/04/2020
Ninhue;0;5414;0;01/04/2020
Nogales;0;23490;0;01/04/2020
Nueva Imperial;0;33777;5.9;01/04/2020
Ñiquén;0;11567;0;01/04/2020
Ñuñoa;84;250192;33.6;01/04/2020
O'Higgins;0;661;0;01/04/2020
Olivar;0;14624;6.8;01/04/2020
Ollagüe;0;287;0;01/04/2020
Olmué;0;19266;0;01/04/2020
Osorno;120;173410;69.2;01/04/2020
Ovalle;4;121269;3.3;01/04/2020
Padre Hurtado;11;74188;14.8;01/04/2020
Padre Las Casas;14;82110;17.1;01/04/2020
Paiguano;0;4675;0;01/04/2020
Paillaco;0;20798;4.8;01/04/2020
Paine;0;82766;3.6;01/04/2020
Palena;0;1827;0;01/04/2020
Palmilla;0;13299;0;01/04/2020
Panguipulli;0;35991;0;01/04/2020
Panquehue;0;7633;0;01/04/2020
Papudo;0;6201;0;01/04/2020
Paredones;0;6349;0;01/04/2020
Parral;0;44544;6.7;01/04/2020
Pedro Aguirre Cerda;13;107803;12.1;01/04/2020
Pelarco;0;9083;0;01/04/2020
Pelluhue;0;8092;12.4;01/04/2020
Pemuco;0;8639;0;01/04/2020
Pencahue;0;8601;0;01/04/2020
Penco;0;49865;2;01/04/2020
Peñaflor;13;101058;12.9;01/04/2020
Peñalolén;46;266798;17.2;01/04/2020
Peralillo;0;11848;0;01/04/2020
Perquenco;0;7223;13.8;01/04/2020
Petorca;0;10558;9.5;01/04/2020
Peumo;0;14952;0;01/04/2020
Pica;0;5958;0;01/04/2020
Pichidegua;0;20743;0;01/04/2020
Pichilemu;0;17882;0;01/04/2020
Pinto;0;11880;16.8;01/04/2020
Pirque;0;30433;6.6;01/04/2020
Pitrufquén;6;26096;23;01/04/2020
Placilla;0;9164;10.9;01/04/2020
Por determinar;62;;;01/04/2020
Portezuelo;0;4940;0;01/04/2020
Porvenir;0;7323;27.3;01/04/2020
Pozo Almonte;0;17395;0;01/04/2020
Primavera;0;694;0;01/04/2020
Providencia;87;157749;55.2;01/04/2020
Puchuncaví;0;20071;0;01/04/2020
Pucón;0;29782;10.1;01/04/2020
Pudahuel;25;253139;9.9;01/04/2020
Puente Alto;58;645909;9;01/04/2020
Puerto Montt;44;269398;16.3;01/04/2020
Puerto Octay;0;9192;10.9;01/04/2020
Puerto Varas;0;48620;2.1;01/04/2020
Pumanque;0;3531;0;01/04/2020
Punitaqui;0;12165;0;01/04/2020
Punta Arenas;87;141984;61.3;01/04/2020
Puqueldón;0;4201;0;01/04/2020
Purén;0;12188;8.2;01/04/2020
Purranque;0;21080;4.7;01/04/2020
Putaendo;0;17645;5.7;01/04/2020
Putre;0;2515;0;01/04/2020
Puyehue;0;11787;8.5;01/04/2020
Queilén;0;5543;0;01/04/2020
Quellón;0;29309;0;01/04/2020
Quemchi;0;8783;0;01/04/2020
Quilaco;0;4179;0;01/04/2020
Quilicura;29;254694;11.4;01/04/2020
Quilleco;0;10032;0;01/04/2020
Quillón;7;18777;37.3;01/04/2020
Quillota;7;97572;7.2;01/04/2020
Quilpué;10;167085;6;01/04/2020
Quinchao;0;8298;12.1;01/04/2020
Quinta de Tilcoco;0;13877;14.4;01/04/2020
Quinta Normal;25;136368;18.3;01/04/2020
Quintero;0;36135;8.3;01/04/2020
Quirihue;0;12192;0;01/04/2020
Rancagua;7;265211;2.6;01/04/2020
Ránquil;0;6261;16;01/04/2020
Rauco;0;11248;0;01/04/2020
Recoleta;23;190075;12.1;01/04/2020
Renaico;0;10833;0;01/04/2020
Renca;14;160847;8.7;01/04/2020
Rengo;0;63710;1.6;01/04/2020
Requínoa;0;30371;3.3;01/04/2020
Retiro;0;21071;0;01/04/2020
Rinconada;0;11263;0;01/04/2020
Río Bueno;0;32925;6.1;01/04/2020
Río Claro;0;14753;6.8;01/04/2020
Río Hurtado;0;4372;22.9;01/04/2020
Río Ibáñez;0;2699;0;01/04/2020
Río Negro;0;14275;0;01/04/2020
Río Verde;0;211;0;01/04/2020
Romeral;0;16170;12.4;01/04/2020
Saavedra;0;12793;0;01/04/2020
Sagrada Familia;0;19469;0;01/04/2020
Salamanca;0;29110;6.9;01/04/2020
San Antonio;4;96761;4.1;01/04/2020
San Bernardo;41;334836;12.2;01/04/2020
San Carlos;13;56252;23.1;01/04/2020
San Clemente;0;46292;0;01/04/2020
San Esteban;0;20643;0;01/04/2020
San Fabián;5;4654;107.4;01/04/2020
San Felipe;0;83494;3.6;01/04/2020
San Fernando;4;78642;5.1;01/04/2020
San Gregorio;0;681;0;01/04/2020
San Ignacio;0;16624;6;01/04/2020
San Javier;0;49451;2;01/04/2020
San Joaquín;24;103485;23.2;01/04/2020
San José de Maipo;0;18644;10.7;01/04/2020
San Juan de la Costa;0;7639;0;01/04/2020
San Miguel;32;133059;24;01/04/2020
San Nicolás;0;12172;16.4;01/04/2020
San Pablo;0;10553;9.5;01/04/2020
San Pedro;0;11953;0;01/04/2020
San Pedro de Atacama;0;10434;19.2;01/04/2020
San Pedro de la Paz;50;145906;34.3;01/04/2020
San Rafael;0;9959;0;01/04/2020
San Ramón;6;86510;6.9;01/04/2020
San Rosendo;0;3611;0;01/04/2020
San Vicente;0;50617;2;01/04/2020
Santa Bárbara;0;14592;13.7;01/04/2020
Santa Cruz;0;41096;0;01/04/2020
Santa Juana;0;14779;0;01/04/2020
Santa María;0;16367;12.2;01/04/2020
Santiago;156;503147;31;01/04/2020
Santo Domingo;0;11934;25.1;01/04/2020
Sierra Gorda;0;1746;0;01/04/2020
Talagante;5;81838;6.1;01/04/2020
Talca;37;236724;15.6;01/04/2020
Talcahuano;23;158345;14.5;01/04/2020
Taltal;0;13657;0;01/04/2020
Temuco;225;302931;74.3;01/04/2020
Teno;0;30850;0;01/04/2020
Teodoro Schmidt;4;15786;25.3;01/04/2020
Tierra Amarilla;0;14312;0;01/04/2020
Tiltil;0;21477;9.3;01/04/2020
Timaukel;0;282;0;01/04/2020
Tirúa;0;11019;0;01/04/2020
Tocopilla;0;28079;7.1;01/04/2020
Toltén;0;10055;29.8;01/04/2020
Tomé;6;58729;10.2;01/04/2020
Torres del Paine;0;1021;0;01/04/2020
Tortel;0;572;0;01/04/2020
Traiguén;0;19314;0;01/04/2020
Treguaco;0;5696;0;01/04/2020
Tucapel;0;15205;0;01/04/2020
Valdivia;45;176774;25.5;01/04/2020
Vallenar;0;57009;0;01/04/2020
Valparaíso;26;315732;8.2;01/04/2020
Vichuquén;0;4381;0;01/04/2020
Victoria;7;35467;19.7;01/04/2020
Vicuña;0;29741;0;01/04/2020
Vilcún;5;30766;16.3;01/04/2020
Villa Alegre;0;17512;0;01/04/2020
Villa Alemana;8;139310;5.7;01/04/2020
Villarrica;4;59103;6.8;01/04/2020
Viña del Mar;38;361371;10.5;01/04/2020
Vitacura;90;96774;93;01/04/2020
Yerbas Buenas;0;19200;0;01/04/2020
Yumbel;5;22132;22.6;01/04/2020
Yungay;7;18596;37.6;01/04/2020
Zapallar;0;7994;0;01/04/2020
